,NDVI ,SM100,SM10,LST,CHIRPS,RefET
Oct-10,0.6754,34.3525,33.8947,27.4588,64.8504,129.8115
Nov-10,0.6626,31.0921,29.6751,28.8013,28.0162,126.6417
Dec-10,0.5822,28.1605,24.5826,31.6704,15.0145,130.9122
Jan-11,0.5016,26.8053,22.765,33.9699,11.9278,143.0989
Feb-11,0.4486,25.866,20.5029,39.0205,11.8451,151.2272
Mar-11,0.4212,25.7154,22.7598,38.5955,35.5196,169.2733
Apr-11,0.4648,25.1646,23.6575,37.3924,80.8752,150.038
May-11,0.5718,30.1435,33.9374,30.3877,198.2556,122.0033
Jun-11,0.6137,33.194,34.4313,26.4234,162.1951,106.6595
Jul-11,0.6198,33.6511,34.6234,26.686,175.8742,114.847
Aug-11,0.6045,34.3215,34.7229,26.464,179.3208,119.3209
Sep-11,0.6694,35.4251,35.6626,26.6161,169.3696,119.1145
Oct-11,0.6873,34.0022,34.3767,27.8133,85.7666,131.8927
Nov-11,0.6735,34.3059,34.3787,26.572,98.7781,108.3641
Dec-11,0.6407,31.4568,27.3168,30.3813,12.5731,129.893
Jan-12,0.5289,28.7959,20.4915,34.805,8.4479,150.4325
Feb-12,0.4291,27.5076,17.9573,38.6421,7.6841,165.9259
Mar-12,0.3866,26.806,20.874,39.6688,32.5621,179.877
Apr-12,0.5105,29.3755,30.8069,33.8436,150.1951,129.7515
May-12,0.6187,33.0577,34.7328,29.6335,157.2438,126.5846
Jun-12,0.615,32.9646,33.1687,26.7363,137.2318,112.0181
Jul-12,0.5983,34.0468,34.4795,25.9603,174.6346,107.1019
Aug-12,0.6188,35.1227,34.7692,26.9466,191.471,111.2217
Sep-12,0.666,36.3998,35.9462,26.8401,178.9351,113.2319
Oct-12,0.6955,34.6756,34.4518,27.6929,90.487,129.2255
Nov-12,0.6838,33.9954,33.3986,27.7063,55.9591,121.5796
Dec-12,0.6253,30.3812,26.8362,30.781,14.9666,130.0346
Jan-13,0.5258,28.4316,23.0951,33.7701,16.6292,140.8377
Feb-13,0.4462,27.4128,20.8095,38.6425,11.5848,153.7534
Mar-13,0.4373,27.5091,23.5833,36.2838,95.0978,149.5125
Apr-13,0.5641,32.8431,32.2929,32.8932,148.041,122.1192
May-13,0.623,35.8797,36.6785,28.0997,188.5621,111.8109
Jun-13,0.6166,35.9115,35.9199,25.4556,135.3358,104.0194
Jul-13,0.5546,36.042,35.5404,25.0892,176.3904,100.1536
Aug-13,0.6213,36.674,35.6663,26.3134,173.655,112.2875
Sep-13,0.6558,36.8151,35.6883,27.3839,145.5875,118.8895
Oct-13,0.698,37.031,36.7208,25.7392,132.5245,117.7137
Nov-13,0.7069,35.7454,35.1932,26.188,75.0581,113.2562
Dec-13,0.6575,32.0167,26.9888,30.8611,6.3504,127.4739
Jan-14,0.5252,29.66,22.2529,34.1372,10.9861,139.0046
Feb-14,0.447,28.8452,22.467,36.2005,20.5576,130.3974
Mar-14,0.5183,29.7574,28.1156,35.8531,100.5658,152.0234
Apr-14,0.6267,32.3431,32.8585,30.5573,136.8186,127.9167
May-14,0.6693,34.7765,36.2966,27.7338,205.0169,115.4932
Jun-14,0.6592,33.5723,33.184,27.4683,105.4118,119.4826
Jul-14,0.5638,32.9021,33.2702,27.0498,138.1896,111.8974
Aug-14,0.5899,33.4579,33.8799,27.1032,169.5054,115.8683
Sep-14,0.6526,35.5478,36.1196,27.0899,172.5055,116.3301
Oct-14,0.6968,36.7218,37.03,25.6584,160.392,117.272
Nov-14,0.6953,33.51,31.8588,27.0535,34.8476,116.0809
Dec-14,0.6307,30.6699,27.2046,30.68,12.9736,127.9316
Jan-15,0.5179,28.436,22.9325,35.3396,13.1176,143.3678
Feb-15,0.4266,27.3242,21.0221,38.7941,14.8312,149.1509
Mar-15,0.4273,26.8694,22.9862,38.5579,51.6626,170.1733
Apr-15,0.5286,29.4113,30.6454,34.5561,134.8037,140.0425
May-15,0.6336,33.1387,35.109,29.4081,170.749,117.141
Jun-15,0.6519,33.5705,33.9933,27.346,146.438,111.0157
Jul-15,0.6271,33.0668,32.9604,27.2777,160.5172,117.0739
Aug-15,0.6382,33.6358,33.5718,28.0307,129.0139,125.4413
Sep-15,0.6482,33.1105,33.2404,29.1057,146.7239,129.6456
Oct-15,0.668,33.3973,34.84,27.5707,109.928,126.1234
Nov-15,0.6745,32.7921,33.1946,26.9575,58.9618,116.1421
Dec-15,0.6467,29.8736,27.5411,29.7214,21.181,121.6217
Jan-16,0.5532,27.9531,24.1246,32.5231,13.5728,129.1586
Feb-16,0.4668,26.8829,21.1186,38.0077,16.8225,150.9072
Mar-16,0.4508,27.0417,24.5342,38.0023,43.6833,164.2722
Apr-16,0.5516,30.1656,31.653,32.9872,157.8483,121.5331
May-16,0.6716,36.8227,37.6112,27.9666,219.495,112.2935
Jun-16,0.6618,35.2129,34.3791,26.484,131.0795,111.4627
Jul-16,0.5964,34.9376,34.2792,26.5614,161.9668,109.2013
Aug-16,0.6339,35.0707,34.1974,28.133,144.325,119.7931
Sep-16,0.6357,34.0933,33.3743,29.0331,126.5472,124.0339
Oct-16,0.6621,34.0411,34.5606,27.255,108.3385,124.4795
Nov-16,0.6606,31.7492,31.0222,29.173,37.8939,121.7507
Dec-16,0.6041,29.599,26.6453,32.2909,14.159,134.2501
Jan-17,0.4975,27.2963,20.1175,37.7773,8.0969,154.9844
Feb-17,0.4172,26.9653,22.3014,37.1728,37.6592,135.8911
Mar-17,0.4411,27.203,24.8617,39.703,69.4509,168.8191
Apr-17,0.5174,28.5259,28.9747,35.1162,83.8174,146.2536
May-17,0.6359,32.0179,34.58,29.1515,152.3331,118.2937
Jun-17,0.6427,32.1518,32.8074,27.4271,121.016,119.6696
Jul-17,0.5759,32.7495,33.6626,26.6314,181.2202,108.6886
Aug-17,0.561,33.6564,33.6449,27.5818,195.4402,119.4827
Sep-17,0.6218,35.6187,36.4262,27.0768,208.3519,116.9787
Oct-17,0.6686,35.4044,35.5816,26.7395,138.9682,120.9747
Nov-17,0.6719,34.3688,33.3737,27.3941,33.2896,116.3447
Dec-17,0.615,30.0951,25.4618,32.491,6.1682,134.6919
Jan-18,0.4823,27.9266,20.7791,35.391,8.5161,142.531
Feb-18,0.4186,27.4161,21.7702,36.4991,45.1433,137.5393
Mar-18,0.4975,29.6332,27.272,35.0588,76.3517,143.6679
Apr-18,0.5814,33.7996,34.557,30.8835,216.5377,117.3006
May-18,0.6213,37.1225,37.5355,28.4625,176.7248,115.0486
Jun-18,0.613,37.8701,37.6902,24.7411,156.3581,97.4296
Jul-18,0.5939,37.0697,35.6266,25.3854,142.6127,106.4084
Aug-18,0.6136,36.0457,34.7489,26.6303,177.8022,116.9273
Sep-18,0.6634,36.2723,34.8938,27.7439,132.2057,129.7
Oct-18,0.6614,35.1309,34.9653,27.1329,109.1046,124.6386
Nov-18,0.6608,33.9125,33.1695,27.3542,56.5992,120.6796
Dec-18,0.6338,30.5903,27.0737,30.5817,10.7818,131.6738
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
