DT,SM,NDVI,,_ NDVI,,max NDVI min NDVI,,,NDVImax -NDVIt-1)*ln(SMt-1),t-2,t-3,t-4,t-5
11/1/14,29.1139,0.5882,,0.042,,,,,3.91986456,7.49861312,8.86548936,10.2006303,6.31908805
12/1/14,28.4091,0.5408,,-0.0474,,,,,2.80366857,3.91986456,7.49861312,8.86548936,10.2006303
1/1/15,26.8004,0.3684,,-0.1724,,,,,4.08238767,2.80366857,3.91986456,7.49861312,8.86548936
2/1/15,25.9554,0.2864,,-0.082,,,,,8.47160644,4.08238767,2.80366857,3.91986456,7.49861312
3/1/15,25.3207,0.3365,,0.0501,,,,,10.33284474,8.47160644,4.08238767,2.80366857,3.91986456
4/1/15,29.6509,0.5774,,0.2409,,,,,8.8116036,10.33284474,8.47160644,4.08238767,2.80366857
5/1/15,32.2853,0.6101,,0.0327,,,,,3.17561139,8.8116036,10.33284474,8.47160644,4.08238767
6/1/15,28.4621,0.541,,-0.0691,,,,,2.40202632,3.17561139,8.8116036,10.33284474,8.47160644
7/1/15,26.3898,0.3933,,-0.1477,,,,,4.08431135,2.40202632,3.17561139,8.8116036,10.33284474
8/1/15,25.6628,0.345,,-0.0483,,,,,7.68470976,4.08431135,2.40202632,3.17561139,8.8116036
9/1/15,25.1307,0.3393,,-0.0057,,,,,8.7125206,7.68470976,4.08431135,2.40202632,3.17561139
10/1/15,28.6561,0.5376,,0.1983,,,,,8.67511764,8.7125206,7.68470976,4.08431135,2.40202632
11/1/15,30.2943,0.6108,,0.0732,,,,,4.20958109,8.67511764,8.7125206,7.68470976,4.08431135
12/1/15,28.3722,0.588,,-0.0228,,,,,2.23268991,4.20958109,8.67511764,8.7125206,7.68470976
1/1/16,26.8285,0.4434,,-0.1446,,,,,2.7379173,2.23268991,4.20958109,8.67511764,8.7125206
2/1/16,26.0617,0.3263,,-0.1171,,,,,6.46835135,2.7379173,2.23268991,4.20958109,8.67511764
3/1/16,26.1424,0.3851,,0.0588,,,,,9.33530094,6.46835135,2.7379173,2.23268991,4.20958109
4/1/16,30.7051,0.5561,,0.171,,,,,7.82703456,9.33530094,6.46835135,2.7379173,2.23268991
5/1/16,35.0222,0.6166,,0.0605,,,,,3.94253484,7.82703456,9.33530094,6.46835135,2.7379173
6/1/16,29.6157,0.5265,,-0.0901,,,,,2.37800738,3.94253484,7.82703456,9.33530094,6.46835135
7/1/16,27.9375,0.3641,,-0.1624,,,,,4.6792806,2.37800738,3.94253484,7.82703456,9.33530094
8/1/16,27.0482,0.3753,,0.0112,,,,,8.951175,4.6792806,2.37800738,3.94253484,7.82703456
9/1/16,26.7992,0.3477,,-0.0276,,,,,8.36330344,8.951175,4.6792806,2.37800738,3.94253484
10/1/16,27.6264,0.3919,,0.0442,,,,,9.02597056,8.36330344,8.951175,4.6792806,2.37800738
11/1/16,28.2586,0.4553,,0.0634,,,,,8.08348464,9.02597056,8.36330344,8.951175,4.6792806
12/1/16,28.1508,0.465,,0.0097,,,,,6.47687112,8.08348464,9.02597056,8.36330344,8.951175
1/1/17,26.4406,0.3521,,-0.1129,,,,,6.1791006,6.47687112,8.08348464,9.02597056,8.36330344
2/1/17,26.1537,0.2949,,-0.0572,,,,,8.78885544,6.1791006,6.47687112,8.08348464,9.02597056
3/1/17,25.5599,0.3274,,0.0325,,,,,10.18948152,8.78885544,6.1791006,6.47687112,8.08348464
4/1/17,26.1867,0.4283,,0.1009,,,,,9.12744029,10.18948152,8.78885544,6.1791006,6.47687112
5/1/17,28.8438,0.5132,,0.0849,,,,,6.70903254,9.12744029,10.18948152,8.78885544,6.1791006
6/1/17,26.0482,0.4689,,-0.0443,,,,,4.94094294,6.70903254,9.12744029,10.18948152,8.78885544
7/1/17,24.4187,0.3453,,-0.1236,,,,,5.61599192,4.94094294,6.70903254,9.12744029,10.18948152
8/1/17,23.7439,0.3062,,-0.0391,,,,,8.28282304,5.61599192,4.94094294,6.70903254,9.12744029
9/1/17,25.2709,0.3654,,0.0592,,,,,8.98231737,8.28282304,5.61599192,4.94094294,6.70903254
10/1/17,27.9178,0.4883,,0.1229,,,,,8.06394419,8.98231737,8.28282304,5.61599192,4.94094294
11/1/17,31.0347,0.5778,,0.0895,,,,,5.47747236,8.06394419,8.98231737,8.28282304,5.61599192
12/1/17,28.0228,0.5317,,-0.0461,,,,,3.31140249,5.47747236,8.06394419,8.98231737,8.28282304
1/1/18,26.5298,0.3437,,-0.188,,,,,4.28188384,3.31140249,5.47747236,8.06394419,8.98231737
2/1/18,26.3306,0.3356,,-0.0081,,,,,9.04135584,4.28188384,3.31140249,5.47747236,8.06394419
3/1/18,30.0478,0.5394,,0.2038,,,,,9.18674634,9.04135584,4.28188384,3.31140249,5.47747236
4/1/18,36.4951,0.6379,,0.0985,,,,,4.35993578,9.18674634,9.04135584,4.28188384,3.31140249
5/1/18,38.3942,0.6495,,0.0116,,,,,1.70067166,4.35993578,9.18674634,9.04135584,4.28188384
6/1/18,35.3267,0.5648,,-0.0847,,,,,1.343797,1.70067166,4.35993578,9.18674634,9.04135584
7/1/18,32.5351,0.4601,,-0.1047,,,,,4.22860599,1.343797,1.70067166,4.35993578,9.18674634
8/1/18,31.1159,0.4207,,-0.0394,,,,,7.30087644,4.22860599,1.343797,1.70067166,4.35993578
9/1/18,30.6633,0.3989,,-0.0218,,,,,8.20837442,7.30087644,4.22860599,1.343797,1.70067166
10/1/18,31.3498,0.4789,,0.08,,,,,8.75743848,8.20837442,7.30087644,4.22860599,1.343797
11/1/18,30.7891,0.5423,,0.0634,,,,,6.44551888,8.75743848,8.20837442,7.30087644,4.22860599
12/1/18,29.1615,0.5053,,-0.037,,,,,4.37821002,6.44551888,8.75743848,8.20837442,7.30087644
1/1/19,27.6116,0.3786,,-0.1267,,,,,5.2257408,4.37821002,6.44551888,8.75743848,8.20837442
2/1/19,27.0449,0.3102,,-0.0684,,,,,8.44638844,5.2257408,4.37821002,6.44551888,8.75743848
3/1/19,26.5209,0.3384,,0.0282,,,,,10.12290607,8.44638844,5.2257408,4.37821002,6.44551888
,,,,,,,,,,10.12290607,8.44638844,5.2257408,4.37821002
,,,,,,,,,,,10.12290607,8.44638844,5.2257408
,,,,,,,,,,,,10.12290607,8.44638844
,,,,,,,,,,,,,10.12290607
